"TrueIC" "FittedIC" "n" "t" "LL" "AIC" "BIC" "Time" "finalN" "rmseLVscores"
"1" "deJong" "FreeParm" "200" "5" "-2042.697" "4129.394" "4201.957" "3.921" "500" "0.413"
"2" "deJong" "Null" "200" "5" "-2364.498" "4762.996" "4819.067" "2.724" "500" "0.966"
"3" "deJong" "deJong" "200" "5" "-1879.589" "3793.177" "3849.249" "5.001" "458" "0.422"
"4" "deJong" "EKF" "200" "5" "-1879.586" "3793.171" "3849.243" "2.658" "500" "0.422"
"5" "deJong" "largeK" "200" "5" "-2229.581" "4493.161" "4549.233" "2.542" "500" "0.422"
