"TrueIC" "FittedIC" "n" "t" "LL" "AIC" "BIC" "Time" "finalN" "rmseLVscores"
"1" "deJong" "deJong" "200" "5" "-1815.37" "3664.739" "3720.811" "5.135" "495" "0.395"
"2" "deJong" "EKF" "200" "5" "-1815.37" "3664.739" "3720.811" "2.772" "495" "0.395"
"3" "deJong" "largeK" "200" "5" "-2165.365" "4364.729" "4420.801" "2.645" "495" "0.395"
