"modelName","ICspecTRUE","ICfitted","N","T","param_type","bias","rel_bias","rmse","coverage","sd_minus_se","power"
"PFAnons","diffuse","deJong",20,50,"init_cond",NA,NA,NA,NA,NA,NA
"PFAnons","diffuse","deJong",20,50,"measurement",-0.00091844987810209,-0.00080542203408181,0.0358800610353514,0.944226044226044,0.00107614482519293,1
"PFAnons","diffuse","deJong",20,50,"process_noise",-0.0098296654779868,-0.0315218130516893,0.0368280107269987,0.942669942669943,-0.0012785352541,0.976248976248976
"PFAnons","diffuse","deJong",20,50,"time_series",-0.000126660950544491,-1.47190724255035e-05,0.00286712131291832,0.961302211302211,-0.000154907653812044,1
"PFAnons","diffuse","deJong",200,5,"init_cond",NA,NA,NA,NA,NA,NA
"PFAnons","diffuse","deJong",200,5,"measurement",-0.0132524987871878,-0.0119470573172381,0.0492577799633158,0.798989898989899,-0.00079172347170736,1
"PFAnons","diffuse","deJong",200,5,"process_noise",0.0174505082190572,0.0511127849500752,0.0473705106045283,0.935353535353535,-0.00267177588996553,0.956902356902357
"PFAnons","diffuse","deJong",200,5,"time_series",-0.0131979778881758,-0.0124153802808277,0.0211339820724941,0.853535353535354,-0.000795818782006704,1
"PFAnons","diffuse","EKF",20,50,"init_cond",NA,NA,NA,NA,NA,NA
"PFAnons","diffuse","EKF",20,50,"measurement",-0.000540123228168465,-0.000284825738348696,0.0354081280506019,0.949375,0.000559213937983587,1
"PFAnons","diffuse","EKF",20,50,"process_noise",-0.0106884376675385,-0.0375205863960498,0.035657836541296,0.944791666666667,-0.00258287818390609,0.973958333333333
"PFAnons","diffuse","EKF",20,50,"time_series",-0.000233381403141747,-0.000202051401657705,0.00290649715993982,0.96171875,-0.000154054265346942,1
"PFAnons","diffuse","EKF",200,5,"init_cond",NA,NA,NA,NA,NA,NA
"PFAnons","diffuse","EKF",200,5,"measurement",-0.0133474325312823,-0.0119774151224585,0.0493039047523349,0.7986,-0.000760025876940433,1
"PFAnons","diffuse","EKF",200,5,"process_noise",0.0175739555894946,0.0521443277800602,0.0473896226195937,0.934666666666667,-0.00270122788141159,0.957333333333333
"PFAnons","diffuse","EKF",200,5,"time_series",-0.0131905054040493,-0.0124341661196701,0.0211444258463534,0.8535,-0.000778925895509857,1
"PFAnons","diffuse","FreeParm",20,50,"init_cond",0.306240295777151,-0.581684679245649,1.82551427118991,0.378125,-0.194613325048722,0.53125
"PFAnons","diffuse","FreeParm",20,50,"measurement",-0.000534474383933076,-0.000220122974825469,0.035394138216485,0.9484375,0.000556868590086217,1
"PFAnons","diffuse","FreeParm",20,50,"process_noise",-0.0108830534958989,-0.0376052313906987,0.0357799818023771,0.942708333333333,-0.00249175653974788,0.972916666666667
"PFAnons","diffuse","FreeParm",20,50,"time_series",-0.000200857064612633,-0.000167391226564177,0.00291884674105729,0.96015625,-0.000140033081616023,1
"PFAnons","diffuse","FreeParm",200,5,"init_cond",0.359062884306813,-0.570549508454549,1.81792032380966,0.0064,-0.080638511525458,0.6192
"PFAnons","diffuse","FreeParm",200,5,"measurement",-0.00024235717590218,-0.000416621621535779,0.041487283212106,0.9522,-0.000705506020561764,1
"PFAnons","diffuse","FreeParm",200,5,"process_noise",-0.01083044991982,-0.0299235236247045,0.0426994598494141,0.952,-0.00308509437561476,0.955333333333333
"PFAnons","diffuse","FreeParm",200,5,"time_series",0.000415248975048008,0.000645456815601813,0.0161982148844796,0.957,-0.000770472920946467,1
"PFAnons","diffuse","largeK",20,50,"init_cond",NA,NA,NA,NA,NA,NA
"PFAnons","diffuse","largeK",20,50,"measurement",-0.000561390003895623,-0.000274770729454384,0.0353904370826955,0.949532710280374,0.000541018697395826,1
"PFAnons","diffuse","largeK",20,50,"process_noise",-0.0107892591069415,-0.037385626352492,0.0356922284652837,0.944963655244029,-0.00258609783117904,0.975077881619938
"PFAnons","diffuse","largeK",20,50,"time_series",-0.000251427218098815,-0.000207979024931216,0.00291913715775486,0.961059190031153,-0.000143396344661317,1
"PFAnons","diffuse","largeK",200,5,"init_cond",NA,NA,NA,NA,NA,NA
"PFAnons","diffuse","largeK",200,5,"measurement",-0.0133083830735427,-0.0119499619567249,0.0492558090910973,0.7994,-0.000760303823619895,1
"PFAnons","diffuse","largeK",200,5,"process_noise",0.017462822996326,0.0518420759116627,0.0473354105295528,0.934666666666667,-0.00270341615604947,0.957333333333333
"PFAnons","diffuse","largeK",200,5,"time_series",-0.0131506816439232,-0.0123934766954607,0.0211197911368219,0.854,-0.000778988494143617,1
"PFAnons","diffuse","Null",20,50,"init_cond",NA,NA,NA,NA,NA,NA
"PFAnons","diffuse","Null",20,50,"measurement",0.0604341821390446,0.0997588315922109,0.0776715351317572,0.711764705882353,0.00175749741058325,1
"PFAnons","diffuse","Null",20,50,"process_noise",0.00369214057735106,-0.15534050323771,0.0588437276089385,0.754385964912281,-0.00150525872284082,0.743034055727554
"PFAnons","diffuse","Null",20,50,"time_series",-0.000113261342720494,-0.000134324632938696,0.00291549313289639,0.972136222910217,-0.000350930350086952,1
"PFAnons","diffuse","Null",200,5,"init_cond",NA,NA,NA,NA,NA,NA
"PFAnons","diffuse","Null",200,5,"measurement",0.573147377196693,0.851014904353005,0.589273804273699,0.38855421686747,-0.00395186490834195,1
"PFAnons","diffuse","Null",200,5,"process_noise",0.37032287358699,-0.146902772281215,0.598129152906838,0,-0.0191680684292804,0.982597054886212
"PFAnons","diffuse","Null",200,5,"time_series",0.0156709182591919,0.0182002548510293,0.0248935919799298,0.992971887550201,-0.0144255913662004,1
