PFAnons deJong FreeParm 0.425923750236738 5 200 1.1766770956743999e+000 7.9019856472862826e-001 8.8814353077315777e-001 1.0915158892966492e+000 7.9520597487696953e-001 3.5912821034507497e-001 9.5739423243578692e-001 1.2143999463765041e+000 -3.8230834794735580e-001 6.3778143237500806e-001 6.9839293376894052e-001 8.2005932124442371e-001 6.4783706960090570e-001 2.1325935200470925e+000 1.0243315964075808e+000 1.4177233879780979e+000 4.1600351532733476e-001 1.4166384706473106e-001 -2.5787161555183034e-002 3.8367521594784231e+000 -1.8789598843633626e+000 3.7512898604995124e+000 1.2381730327467802e-002 1.4955690804811198e-002 2.2009422748342073e-002 1.9448545640855550e-002 9.1183864660007330e-002 5.7727571286873461e-002 7.3841134093754660e-002 1.4698293173623388e-002 1.8505816677670046e-002 2.3226639889658198e-002 1.9610207253023228e-002 4.7264491427632713e-002 4.8933405748228818e-002 1.0067296478683997e-001 5.7722672405702231e-002 7.1014040097647099e-002 4.1949609458269692e-002 1.4177821319311029e-001 1.4065381245810191e-001 4.0685532623596182e-001 3.1394479974658362e-001 4.0825110499505618e-001 -2.0568127095633558e+003 Strong NA NA 3.95000000001164
PFAnons deJong Null 0.974218593085869 5 200 1.1696818949100249e+000 8.0226614363439230e-001 8.9866918501716575e-001 1.0659174589288192e+000 1.6539676428710679e+000 6.7648107297663143e-002 1.6567344844357628e+000 1.2243065014352887e+000 -3.8533147259028250e-001 6.5639191451985568e-001 7.3335831889292569e-001 1.8240812180067301e+000 2.2191598687964760e+000 2.5473867757299318e+000 1.9789887100126378e+000 2.0974318331132840e+000 1.7687016361191110e+000 2.0817678584039944e-002 1.8643543715276534e-002 3.1940212008823389e-002 3.2801774373413868e-002 1.6241552512247706e-001 9.6514049265434554e-002 1.3324307218352716e-001 2.3814071991102258e-002 2.6973439729565736e-002 4.1171185829287187e-002 3.1586571295539413e-002 9.0853615317237665e-002 1.1099889877536404e-001 1.2369213063090188e-001 9.9293311477617593e-002 1.0354489889073146e-001 8.8092747038535285e-002 -2.3780555332085391e+003 Strong NA NA 2.73000000003958
PFAnons deJong EKF 0.437228383048424 5 200 1.1609441751544061e+000 7.7945865827283489e-001 8.5210439062703658e-001 1.0458044149485763e+000 8.5162004411167258e-001 3.8842818137936935e-001 1.0287840894308078e+000 1.2039612477135118e+000 -3.8823841271597048e-001 6.1418345621664816e-001 6.9074773342114204e-001 8.1706578088984427e-001 6.4621086292065166e-001 2.1352253867237350e+000 1.0118716038365265e+000 1.4191836056127047e+000 4.3387230167866320e-001 1.1995539476647847e-002 1.4685632704253899e-002 2.0559200748127206e-002 1.7627481285402605e-002 9.2977253439723698e-002 6.0360912548419063e-002 7.8176851271643241e-002 1.4524785466625638e-002 1.8594040202463052e-002 2.2131073716662928e-002 1.9310928984481286e-002 4.7550152571126957e-002 4.8997141917707161e-002 1.0082146737752253e-001 5.8103429950587177e-002 7.1160273008364791e-002 4.2481028051951537e-002 -1.8921022212503278e+003 Strong NA NA 2.61999999999534
PFAnons deJong largeK 0.437147251550056 5 200 1.1610106432569556e+000 7.7950342866402933e-001 8.5225089634394735e-001 1.0459935059288130e+000 8.5137663266390673e-001 3.8830724293750241e-001 1.0284809941565813e+000 1.2039885819364382e+000 -3.8822067731574428e-001 6.1424602070015433e-001 6.9079376533124193e-001 8.1705327467949418e-001 6.4619580998383297e-001 2.1352158014303959e+000 1.0118768889513872e+000 1.4191778309092116e+000 4.3376131281437708e-001 1.1996411110703766e-002 1.4686505186028037e-002 2.0563254521770290e-002 1.7631399304446543e-002 9.2968765211114260e-002 6.0349814617505222e-002 7.8156516948568136e-002 1.4525049624079189e-002 1.8593040348278401e-002 2.2133908136165864e-002 1.9311925784349974e-002 4.7547302289492617e-002 4.8996386323573983e-002 1.0082087043200424e-001 5.8098043442152657e-002 7.1159383633234527e-002 4.2478011572966580e-002 -2.2421030162035836e+003 Strong NA NA 2.51999999996042
PFAnons deJong deJong 0.437228423440621 5 200 1.1609442061735429e+000 7.7945867586923934e-001 8.5210422164601474e-001 1.0458042419310167e+000 8.5161981377612861e-001 3.8842926448725296e-001 1.0287848950359342e+000 1.2039612795344619e+000 -3.8823867154723501e-001 6.1418332663081499e-001 6.9074746788393560e-001 8.1706586933190806e-001 6.4621187271261626e-001 2.1352259011106205e+000 1.0118716511535011e+000 1.4191834686424243e+000 4.3387247179347493e-001 1.1995544359995326e-002 1.4685634660134443e-002 2.0559197442749626e-002 1.7627476687685634e-002 9.2977257034633345e-002 6.0360933076820986e-002 7.8176929045625287e-002 1.4524782319598148e-002 1.8594053144972030e-002 2.2131063626395043e-002 1.9310932420336102e-002 4.7550143557237731e-002 4.8997180910753453e-002 1.0082149791057318e-001 5.8103434042195166e-002 7.1160256574586508e-002 4.2481002169450624e-002 -1.8921022212502098e+003 Strong NA NA 4.80000000004657
PFAnons deJong FreeParm 0.41296644755965 5 200 1.1856159057951843e+000 7.9167255971439299e-001 9.0897065072972616e-001 1.0980467484920626e+000 8.8899180599582728e-001 3.3325267221881688e-001 1.0139168534394067e+000 1.2022352107685386e+000 -3.9189201302650184e-001 6.0112688328463182e-001 6.9257878851000132e-001 7.9204377965168826e-001 6.3927803792834514e-001 2.0895591317390894e+000 9.2882972139508746e-001 1.4388636539728124e+000 3.6296891955242677e-001 -7.1948689311745861e-002 7.8229282867120289e-002 3.8809640818782167e+000 -1.8950424167044411e+000 3.7358226627938906e+000 1.3523086128116890e-002 1.6273149359480342e-002 2.1644101874249588e-002 1.8318765229245797e-002 8.1794398571281166e-002 5.2809684448639913e-002 7.2263630031467851e-002 1.5199899192445956e-002 2.0080638663011578e-002 2.1805730056204946e-002 1.9450483587987392e-002 4.6023729818112556e-002 4.8448344652119647e-002 9.8660338866372238e-002 5.2470894298473625e-002 7.1718166135332981e-002 3.8724144373834285e-002 1.4252241705676799e-001 1.3995719909694071e-001 4.1158618687876963e-001 3.1431728345262877e-001 4.0301435399444391e-001 -2.0373646024243194e+003 Strong NA NA 3.8399999999674
PFAnons deJong Null 0.973097935150489 5 200 1.1773153718908529e+000 7.9220534408086485e-001 8.9413658183812073e-001 1.0631265132670558e+000 1.6629661375351119e+000 -8.8852665782644363e-002 1.6677135560414107e+000 1.2131116277836225e+000 -3.9757993516848211e-001 6.2541061915884266e-001 7.3087753009933454e-001 1.7678444694752193e+000 2.1875149477419500e+000 2.6935416672008681e+000 1.8175578837414246e+000 2.2810138520860295e+000 1.7388405185635996e+000 2.2902772986513081e-002 2.0890259579779621e-002 3.1354634892296444e-002 3.1254126935429213e-002 1.5073844435476286e-001 9.2389055363425648e-002 1.3109581866563991e-001 2.5424429037536299e-002 2.9747727016242741e-002 3.8581309390753528e-002 3.0763943134080322e-002 8.8287377304165263e-002 1.0975457610396949e-001 1.2870435662190627e-001 9.1071657877424397e-002 1.1097398177616270e-001 8.6365950243276243e-002 -2.3738769729651649e+003 Strong NA NA 2.51000000000931
PFAnons deJong EKF 0.422574960013476 5 200 1.1667357516597241e+000 7.7965328541177636e-001 8.7668818410390403e-001 1.0566954908651969e+000 9.4688277839747736e-001 3.5640704172242382e-001 1.0810345258865497e+000 1.1902328272689113e+000 -3.9597813795152115e-001 5.8061998801041281e-001 6.8618522894354583e-001 7.8685877888421096e-001 6.4692480740437186e-001 2.0835375524769155e+000 9.1796262102450632e-001 1.4319836444827119e+000 3.7931841932484095e-001 1.3055376343031890e-002 1.5903709607000965e-002 2.0364703704652362e-002 1.6753645348029922e-002 8.3721159275368287e-002 5.5279842321435520e-002 7.6138141344715735e-002 1.5006710151928816e-002 2.0110069360680501e-002 2.0950404884760111e-002 1.9195843119822167e-002 4.6249703812955255e-002 4.8753407220769887e-002 9.8472233912116972e-002 5.2808644418632325e-002 7.1505720276030832e-002 3.9186091068317649e-002 -1.8727579073965885e+003 Strong NA NA 2.52000000001863
PFAnons deJong largeK 0.422506814728014 5 200 1.1668149953455342e+000 7.7970339133290645e-001 8.7681565188071120e-001 1.0568632895247825e+000 9.4663862514787633e-001 3.5631573388526017e-001 1.0807562269881337e+000 1.1902645197909483e+000 -3.9596914184391940e-001 5.8066711109308133e-001 6.8622415876651011e-001 7.8684334416987078e-001 6.4687690361229433e-001 2.0835617917971199e+000 9.1795525888896179e-001 1.4320271544811296e+000 3.7922311764616695e-001 1.3056350389954749e-002 1.5904921401453272e-002 2.0368354566647401e-002 1.6756896743656807e-002 8.3712979907506244e-002 5.5270142861221588e-002 7.6120461297386921e-002 1.5007049537796673e-002 2.0109352806845386e-002 2.0952437958808606e-002 1.9196609567668145e-002 4.6246697319851475e-002 4.8751743507685769e-002 9.8472879708078914e-002 5.2804000920463612e-002 7.1506986114632368e-002 3.9184067364468354e-002 -2.2227577259025757e+003 Strong NA NA 2.40000000002328
PFAnons deJong deJong 0.422574959370506 5 200 1.1667357658536184e+000 7.7965326152359882e-001 8.7668818189265996e-001 1.0566954855606079e+000 9.4688276236275237e-001 3.5640706551056228e-001 1.0810345300313102e+000 1.1902328294000590e+000 -3.9597813637164941e-001 5.8061996761752310e-001 6.8618521605308169e-001 7.8685880593576729e-001 6.4692481662361268e-001 2.0835374834565128e+000 9.1796262013984908e-001 1.4319836115389166e+000 3.7931844115475249e-001 1.3055375358067786e-002 1.5903708470321840e-002 2.0364703236773082e-002 1.6753640910704869e-002 8.3720867348744163e-002 5.5279807667059658e-002 7.6138068581108775e-002 1.5006708456692068e-002 2.0110068129269160e-002 2.0950402436218044e-002 1.9195842111055954e-002 4.6249693209277284e-002 4.8753328589107497e-002 9.8472183169725613e-002 5.2808579859656472e-002 7.1505695764213284e-002 3.9186002429371439e-002 -1.8727579073965899e+003 Strong NA NA 4.80999999999767
PFAnons deJong FreeParm 0.413177354207517 5 200 1.1964192172276189e+000 7.9381285711570504e-001 8.9788128279224821e-001 1.1189824527740733e+000 7.7582994286666807e-001 2.6103371881363935e-001 8.6365666698859112e-001 1.1855335125654689e+000 -4.1875546592023216e-001 6.4943823979824600e-001 7.0138769541813695e-001 8.5734326952246809e-001 5.8034486096428317e-001 2.0504149288923350e+000 1.0025926271018371e+000 1.4496041782453433e+000 3.8130567416757610e-001 1.3713151545485588e-001 -5.9728361631557626e-002 3.8568878153016475e+000 -1.8424485562602981e+000 3.1899609263253970e+000 1.3913739483422430e-002 1.6457658036178123e-002 2.2264187837695376e-002 1.9541015628999004e-002 8.6930336252829379e-002 5.2605583521852427e-002 6.6786768155418855e-002 1.6083360125447053e-002 2.0118310286631094e-002 2.3395637737343263e-002 1.8724498501188503e-002 4.9092309757567579e-002 4.7807839358001786e-002 9.6994571986055489e-002 5.5638647637982104e-002 7.1819247276444162e-002 4.0408280070911753e-002 1.4203129042680154e-001 1.2988800826189409e-001 4.0940374339561963e-001 2.9373051049273041e-001 3.4834352374180022e-001 -2.0420021553301590e+003 Strong NA NA 4.03999999997905
