"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10"
"1" "deJong" "FreeParm" "200" "5" "-1856.80516777023" "3757.61033554046" "3830.17331760452" "10.2279272727271" "495" "0.276687000614681"
"2" "deJong" "Null" "200" "5" "-2293.31594237098" "4620.63188474196" "4676.70327997327" "4.82394600000069" "500" "0.944097627174797"
"3" "deJong" "deJong" "200" "5" "-1692.55701499933" "3419.11402999866" "3475.18542522997" "14.1226931818209" "176" "0.291176980434461"
"4" "deJong" "EKF" "200" "5" "-1694.22969290125" "3422.4593858025" "3478.53078103382" "6.31731000000064" "500" "0.292066587652484"
"5" "deJong" "largeK" "200" "5" "-2044.22335059948" "4122.44670119896" "4178.51809643028" "6.07395800000086" "500" "0.29194570368298"
"6" "deJong" "FreeParm" "20" "50" "-176.466689702437" "396.933379404874" "418.839489423062" "7.73736752136899" "468" "0.233787179694079"
"7" "deJong" "Null" "20" "50" "-187.014018591427" "408.028037182854" "424.955485833272" "3.70562000000104" "500" "0.391127009945071"
"8" "deJong" "deJong" "20" "50" "-174.912797982556" "383.825595965113" "400.753044615531" "8.89097872340233" "376" "0.23437839339795"
"9" "deJong" "EKF" "20" "50" "-174.903702138766" "383.807404277533" "400.734852927951" "4.81986451612808" "465" "0.234104194394131"
"10" "deJong" "largeK" "20" "50" "-178.402959000083" "390.805918000166" "407.733366650584" "4.7732224622021" "463" "0.234106650128987"
