$\theta$ True IC Fitted IC N T True Value $\hat{\theta}$ $SE_\theta$ $\hat{SE}$ Bias RB RMSE cov pow
Z31 Null EKF 200 5 0.8 0.743 0.032 0.033 -0.057 -0.071 0.065 0.61 1
Z52 Null EKF 200 5 0.9 0.714 0.045 0.045 -0.186 -0.207 0.192 0.02 1
Z62 Null EKF 200 5 1.1 0.841 0.04 0.036 -0.259 -0.236 0.262 0 1
V11 Null EKF 200 5 0.05 0.704 0.066 0.067 0.654 13.079 0.657 0 1
V21 Null EKF 200 5 0.02 0.157 0.052 0.045 0.137 6.838 0.146 0.17 0.914
V22 Null EKF 200 5 0.05 0.743 0.07 0.07 0.693 13.855 0.696 0 1
T11 Null EKF 200 5 1.2 1.13 0.031 0.031 -0.07 -0.058 0.076 0.372 1
T21 Null EKF 200 5 -0.4 -0.421 0.033 0.042 -0.021 0.052 0.039 0.974 1
T12 Null EKF 200 5 0.6 0.483 0.044 0.045 -0.117 -0.195 0.125 0.254 1
T22 Null EKF 200 5 0.7 0.617 0.045 0.044 -0.083 -0.119 0.095 0.544 1
U11 Null EKF 200 5 0.8 0.781 0.048 0.046 -0.019 -0.024 0.051 0.918 1
U22 Null EKF 200 5 0.6 0.608 0.046 0.045 0.008 0.013 0.047 0.948 1
U33 Null EKF 200 5 2 2.004 0.093 0.095 0.004 0.002 0.093 0.952 1
U44 Null EKF 200 5 1 0.921 0.058 0.059 -0.079 -0.079 0.098 0.728 1
U55 Null EKF 200 5 1.5 1.506 0.076 0.075 0.006 0.004 0.076 0.944 1
U66 Null EKF 200 5 0.4 0.477 0.043 0.04 0.077 0.192 0.088 0.496 1
Z21 Null largeK 200 5 1.2 1.113 0.029 0.027 -0.087 -0.072 0.091 0.126 1
Z31 Null largeK 200 5 0.8 0.743 0.032 0.033 -0.057 -0.071 0.065 0.61 1
Z52 Null largeK 200 5 0.9 0.714 0.045 0.045 -0.186 -0.207 0.192 0.02 1
Z62 Null largeK 200 5 1.1 0.841 0.04 0.036 -0.259 -0.235 0.262 0 1
V11 Null largeK 200 5 0.05 0.704 0.066 0.067 0.654 13.077 0.657 0 1
V21 Null largeK 200 5 0.02 0.157 0.052 0.045 0.137 6.836 0.146 0.17 0.914
V22 Null largeK 200 5 0.05 0.743 0.07 0.07 0.693 13.852 0.696 0 1
T11 Null largeK 200 5 1.2 1.13 0.031 0.031 -0.07 -0.058 0.076 0.372 1
T21 Null largeK 200 5 -0.4 -0.421 0.033 0.042 -0.021 0.052 0.039 0.974 1
T12 Null largeK 200 5 0.6 0.483 0.044 0.045 -0.117 -0.195 0.125 0.254 1
T22 Null largeK 200 5 0.7 0.617 0.045 0.044 -0.083 -0.119 0.094 0.544 1
