PFAnons deJong FreeParm 0.232786222126893 50 20 1.1984410154109248e+000 7.9674821977072730e-001 9.1747817441905166e-001 1.1047872535631036e+000 3.8154481071427139e-002 8.2650480160494384e-003 3.9944861042254705e-002 1.2006010326881589e+000 -3.9880425236956968e-001 6.0412429932746892e-001 6.9861967420411242e-001 7.9858895895531512e-001 5.3850609473500000e-001 1.9768948911082391e+000 9.8412681451931072e-001 1.3787220046616702e+000 3.8619892036613773e-001 2.1303661905634858e-001 -4.1448939343314284e-001 3.4218352071804343e+000 -4.2027269123144601e-001 2.3498336972170564e+000 5.5580522722376768e-003 6.7465385005351314e-003 7.9613144779524751e-003 6.7515890145025586e-003 1.2177754652204159e-002 7.5246920071479163e-003 7.3768297402639410e-003 2.3702722029987650e-003 3.7753464268959498e-003 4.5627167333033005e-003 2.3475699396427819e-003 3.8442311551023185e-002 2.8975425393640605e-002 9.0069003045089940e-002 4.6561224419413530e-002 6.3611133965821937e-002 2.0595686379883991e-002 4.1781329480625534e-001 3.4969154304744937e-001 1.1043648404345787e+000 6.6067876931081804e-001 7.7351685863541020e-001 -1.7441284749784222e+002 Strong NA NA 7.97999999999956
PFAnons deJong Null 0.373671266712173 50 20 1.1991274912297336e+000 7.9709115429781252e-001 9.1698180251911277e-001 1.1046191881404344e+000 9.6661920771028101e-002 -1.1220435784658608e-002 9.7964379673079860e-002 1.1999971887181986e+000 -3.9880975453738365e-001 6.0302971611678358e-001 6.9873423954038982e-001 9.3122997692892440e-001 6.3931229625153574e-001 2.0313084189913604e+000 1.0323037955363796e+000 1.4509893732738903e+000 4.5793523491054872e-001 6.0321511118449191e-003 6.9447032941398036e-003 8.1693883121787079e-003 7.0304247421449657e-003 2.1844608723576669e-002 1.1852759220264459e-002 1.1825557052161137e-002 3.3935158669978517e-003 4.2624102990875701e-003 5.5857722685698800e-003 2.9564563273965171e-003 4.6108396411940929e-002 3.5584803220862417e-002 9.3931380510384396e-002 4.9815171747465650e-002 6.7731021913188971e-002 2.5005389952789125e-002 -1.8432856379220982e+002 Strong NA NA 2.18000000000029
PFAnons deJong EKF 0.232537415942306 50 20 1.1980784281024202e+000 7.9650794355784960e-001 9.1698240298503797e-001 1.1041598064658960e+000 3.8228119456645830e-002 7.9435791932712888e-003 3.9878748660923960e-002 1.2004639450652854e+000 -3.9886252391200794e-001 6.0387504162161521e-001 6.9863378109429752e-001 7.9719817833393736e-001 5.3821211929870449e-001 1.9766976208561935e+000 9.8439032942455784e-001 1.3775534050672360e+000 3.8685412100960276e-001 5.5507623964905529e-003 6.7423733064717632e-003 7.9525309112004582e-003 6.7452865463508739e-003 1.2262332705585861e-002 7.5450034923529967e-003 7.3751224536439059e-003 2.3752322719879401e-003 3.7719328817416172e-003 4.5621480154579910e-003 2.3454536748205314e-003 3.8401160011608822e-002 2.8970108738317197e-002 9.0070680947162085e-002 4.6576655082172895e-002 6.3557342057666236e-002 2.0624028221351828e-002 -1.7285324866481932e+002 Strong NA NA 5.80999999999949
PFAnons deJong largeK 0.232537414016184 50 20 1.1980797295078875e+000 7.9650880174298300e-001 9.1698378058081786e-001 1.1041615145459494e+000 3.8227510307983895e-002 7.9446268465203276e-003 3.9878601242809161e-002 1.2004642873452329e+000 -3.9886248422265008e-001 6.0387552271764122e-001 6.9863378118320729e-001 7.9720272687590599e-001 5.3821298174875332e-001 1.9766982005982516e+000 9.8438943234646636e-001 1.3775558252574922e+000 3.8685261090238665e-001 5.5507826894615206e-003 6.7423860689503432e-003 7.9525488138515177e-003 6.7452953891686714e-003 1.2261967662308687e-002 7.5449070934903916e-003 7.3750993907424059e-003 2.3752108523495056e-003 3.7719376005373711e-003 4.5621377188756786e-003 2.3454562981689506e-003 3.8401274897463089e-002 2.8970091365988368e-002 9.0070664178010365e-002 4.6576595229279080e-002 6.3557439892158285e-002 2.0623949959632661e-002 -1.7635276636313199e+002 Strong NA NA 6.46000000000095
PFAnons deJong deJong 0.232537416768428 50 20 1.1980784247485743e+000 7.9650794154196192e-001 9.1698241524584023e-001 1.1041598181173944e+000 3.8228127601668931e-002 7.9435754340084295e-003 3.9878754891953153e-002 1.2004639218263444e+000 -3.9886252313322229e-001 6.0387503009198051e-001 6.9863378562121459e-001 7.9719817596263798e-001 5.3821208581870439e-001 1.9766977002529036e+000 9.8439028412477558e-001 1.3775531619794021e+000 3.8685412902095889e-001 5.5507623231124030e-003 6.7423734307496454e-003 7.9525306050221151e-003 6.7452867292549026e-003 1.2262347765792037e-002 7.5450142559508222e-003 7.3751329087186381e-003 2.3752323031499926e-003 3.7719330535894869e-003 4.5621480207263827e-003 2.3454536942452988e-003 3.8401161748873487e-002 2.8970103109947378e-002 9.0070692160474267e-002 4.6576655249616218e-002 6.3557331053682067e-002 2.0624028116200791e-002 -1.7285324866481835e+002 Strong NA NA 3.51000000000022
PFAnons deJong FreeParm 0.23565511892957 50 20 1.1956642143376044e+000 7.9347383380127468e-001 8.9341046779015476e-001 1.0998318011533446e+000 5.8345978338938731e-002 1.5414757000427062e-002 6.2418490963577274e-002 1.2003619521236446e+000 -3.9656365735773907e-001 6.0365872286017852e-001 7.0112268559335045e-001 7.6048226937406371e-001 6.2928179619297753e-001 2.0449077517373913e+000 9.7759774176026981e-001 1.6019338120135536e+000 3.8829998708083652e-001 -4.6584599009437205e-001 3.4401013190229340e-001 3.4222213997940534e+000 -9.9686789642701223e-001 3.1714996571915162e+000 4.5653100223055831e-003 5.5354571679706952e-003 6.7641590242376046e-003 5.4931018323943932e-003 1.2459077571267928e-002 8.1852764346470423e-003 9.0452140763540179e-003 1.8977475687628380e-003 3.1433983769822305e-003 3.6130935972019827e-003 2.0435525856506015e-003 3.7096464378423781e-002 3.2867479166588963e-002 9.3204964753488814e-002 4.6396088869410691e-002 7.3731193913162782e-002 2.1635377557343995e-002 4.1798499851606075e-001 4.0450839099644226e-001 1.1054670567491640e+000 7.9043509934203393e-001 1.0355196568486591e+000 -1.7762420694421849e+002 Strong NA NA 7.86000000000058
PFAnons deJong Null 0.381523947950692 50 20 1.1954694942582613e+000 7.9364453843439808e-001 8.9331313115762978e-001 1.0989542810195860e+000 1.2383858844159698e-001 -1.7363619078930782e-002 1.2627317100033145e-001 1.1992065321740730e+000 -3.9624233430359712e-001 6.0255495691006145e-001 7.0140526290894301e-001 8.0308605121264198e-001 7.2854615837978520e-001 2.0494084711640030e+000 1.0028489006541408e+000 1.6311504939241566e+000 5.1937148765662400e-001 4.7765784264841796e-003 5.5738547686076736e-003 6.8375003501537955e-003 5.7685329831693574e-003 2.4515703089775711e-002 1.3610293128565747e-002 1.3792890521546496e-002 2.8775929765270610e-003 3.5068889657851603e-003 4.4934575346780503e-003 2.5471912495725986e-003 4.1271242387127732e-002 4.0084519326021840e-002 9.5118072087722674e-002 4.8689676075415710e-002 7.6107118466024096e-002 2.8187138927586782e-002 -1.8710958300703101e+002 Strong NA NA 2.07000000000153
PFAnons deJong EKF 0.236226747874253 50 20 1.1954460277961991e+000 7.9332360074958419e-001 8.9307883727122894e-001 1.0994370192895606e+000 5.7931479537105798e-002 1.6195600936473226e-002 6.2459199039340982e-002 1.2002964526383622e+000 -3.9661454422936737e-001 6.0351216701773891e-001 7.0111496893332947e-001 7.6138433102988523e-001 6.3005078584571272e-001 2.0459580109408195e+000 9.7919682978862377e-001 1.6028512673953734e+000 3.8814521821990083e-001 4.5663274429887284e-003 5.5358897164848380e-003 6.7635031481725217e-003 5.4917990904303328e-003 1.2329153855852128e-002 8.1502758601158815e-003 9.0377838340000641e-003 1.8906733815799246e-003 3.1438516718631324e-003 3.6071629328938851e-003 2.0427501349951009e-003 3.7118677322223542e-002 3.2866381181776337e-002 9.3239558331323344e-002 4.6471660334580882e-002 7.3770809764750561e-002 2.1627915930266483e-002 -1.7602076941283318e+002 Strong NA NA 3.95000000000073
PFAnons deJong largeK 0.236223601497476 50 20 1.1954468524353967e+000 7.9332416986285736e-001 8.9307999211854561e-001 1.0994383961929997e+000 5.7932101508118658e-002 1.6194339214353919e-002 6.2459066968758963e-002 1.2002965921037065e+000 -3.9661440110824181e-001 6.0351254283379951e-001 7.0111506543491431e-001 7.6138203097492430e-001 6.3004969945271283e-001 2.0459546272575331e+000 9.7919038541052050e-001 1.6028479208965869e+000 3.8814527235580487e-001 4.5663260949830907e-003 5.5358886982726689e-003 6.7635012844468306e-003 5.4917956829675877e-003 1.2329388562228878e-002 8.1503249960659541e-003 9.0377958497742904e-003 1.8906883397001070e-003 3.1438468900961999e-003 3.6071721634692465e-003 2.0427514839380886e-003 3.7118596952222645e-002 3.2866403995332825e-002 9.3239436702073145e-002 4.6471329682350224e-002 7.3770657279009819e-002 2.1627911956956611e-002 -1.7952047864060918e+002 Strong NA NA 4.60999999999876
PFAnons deJong deJong 0.236226755877898 50 20 1.1954460268327707e+000 7.9332358622892996e-001 8.9307886167197303e-001 1.0994370188449714e+000 5.7931475110622681e-002 1.6195552256342376e-002 6.2459167740355502e-002 1.2002964469430624e+000 -3.9661453441247790e-001 6.0351216802371221e-001 7.0111497287670399e-001 7.6138429126128471e-001 6.3005075915922693e-001 2.0459577363099473e+000 9.7919670195771913e-001 1.6028511858335786e+000 3.8814529684131782e-001 4.5663272704469073e-003 5.5358893153140826e-003 6.7635029943402154e-003 5.4917988439394357e-003 1.2329142145701853e-002 8.1503089202304944e-003 9.0378056846246065e-003 1.8906734695554191e-003 3.1438511820293907e-003 3.6071627361643579e-003 2.0427499288069315e-003 3.7118678494944282e-002 3.2866386217269193e-002 9.3239539453993631e-002 4.6471651892412646e-002 7.3770805919246715e-002 2.1627916394181625e-002 -1.7602076941283400e+002 Strong NA NA 3.28999999999905
PFAnons deJong FreeParm 0.243412921939697 50 20 1.1993451680057410e+000 8.1408090170707659e-001 8.9854373776217555e-001 1.1018959295999287e+000 3.5277769143894383e-002 3.1874497165539778e-002 6.4077310447424971e-002 1.1972696350035046e+000 -3.9973921681197727e-001 5.9894964281684826e-001 7.0190799639341228e-001 8.6830256203361056e-001 5.9931288649057557e-001 2.0899985157908962e+000 1.0350531999615842e+000 1.4851714308582757e+000 4.1330566162017185e-001 -7.1556054415456349e-001 -5.9061560440236201e-002 4.5640467829891973e+000 -1.7907555039947070e+000 2.6214475699723891e+000 5.6160530992385160e-003 6.7441611448497358e-003 7.6968791902004641e-003 6.5299770099561394e-003 1.0285249235152045e-002 7.3914342447406172e-003 8.3004221878730383e-003 2.0890216736850786e-003 3.7990265152015794e-003 4.1984121293650277e-003 2.3511287236769375e-003 4.1186099890105236e-002 3.0838666908637076e-002 9.4895586472309904e-002 4.8939178077804069e-002 6.8461076731504006e-002 2.2389995478110183e-002 4.8080190472525669e-001 3.6891639173972252e-001 1.4623034765788370e+000 8.9200190852480277e-001 8.6112101094794158e-001 -1.7802048921935062e+002 Strong NA NA 5.45999999999913
