"modelName","ICspecTRUE","ICfitted","N","T","param_name","true_value","param_type","param_mean","param_sd","se_mean","se_sd","sd_minus_se","bias","rel_bias","rmse","coverage","power"
"PFAnons","diffuse","deJong",20,50,"Z21",1.2,"measurement",1.19999663890835,0.00314740269467922,0.00323510739557983,0.000350376620821181,-8.7704700900618e-05,-3.36109164744691e-06,-2.80090970620576e-06,0.00314353552547852,0.960687960687961,1
"PFAnons","diffuse","deJong",20,50,"Z31",0.8,"measurement",0.79996684513558,0.00391384226974984,0.00386943266264723,0.000420293499103916,4.44096071026117e-05,-3.31548644199042e-05,-4.14435805248803e-05,0.00390917175339403,0.953316953316953,1
"PFAnons","diffuse","deJong",20,50,"Z52",0.9,"measurement",0.899974357880838,0.00483243186230011,0.00456916468499568,0.000490371030917287,0.00026326717730443,-2.56421191617839e-05,-2.84912435130933e-05,0.00482655967781538,0.938574938574939,1
"PFAnons","diffuse","deJong",20,50,"Z62",1.1,"measurement",1.09994847936619,0.00399369174282019,0.00381545527647733,0.000421599894160778,0.000178236466342857,-5.15206338129737e-05,-4.68369398299761e-05,0.0039891151864191,0.955773955773956,1
"PFAnons","diffuse","deJong",20,50,"V11",0.5,"process_noise",0.477117240926852,0.0369456015223064,0.0439596615269421,0.00253220310606961,-0.0070140600046357,-0.022882759073148,-0.045765518146296,0.0434194009820807,0.950859950859951,1
"PFAnons","diffuse","deJong",20,50,"V21",0.1,"process_noise",0.0955515692141066,0.0277826160502357,0.0277139164898646,0.00102789291548136,6.86995603710917e-05,-0.00444843078589338,-0.0444843078589338,0.0281027720223497,0.943488943488944,0.928746928746929
"PFAnons","diffuse","deJong",20,50,"V22",0.5,"process_noise",0.497842193425081,0.0389499403649818,0.0358401856830172,0.00188409774615393,0.00310975468196462,-0.00215780657491899,-0.00431561314983797,0.0389618591765658,0.933660933660934,1
"PFAnons","diffuse","deJong",20,50,"T11",1.2,"time_series",1.19991430195257,0.00236913093622408,0.00239312619332436,0.000264941996971026,-2.3995257100277e-05,-8.56980474257529e-05,-7.14150395214608e-05,0.00236777003330843,0.953316953316953,1
"PFAnons","diffuse","deJong",20,50,"T21",-0.4,"time_series",-0.400145307488935,0.00273190741416165,0.00336746285957066,0.000354942426779194,-0.000635555445409007,-0.000145307488935098,0.000363268722337745,0.0027324155970377,0.99017199017199,1
"PFAnons","diffuse","deJong",20,50,"T12",0.6,"time_series",0.600180763710326,0.003597873297453,0.00350583638171185,0.000384503407401079,9.20369157411506e-05,0.000180763710325826,0.000301272850543044,0.00359799425274652,0.938574938574939,1
"PFAnons","diffuse","deJong",20,50,"T22",0.7,"time_series",0.699543598023857,0.00273581412854006,0.0027879309570201,0.000298155918814528,-5.2116828480042e-05,-0.000456401976142939,-0.000652002823061342,0.00277030536858061,0.963144963144963,1
"PFAnons","diffuse","deJong",20,50,"U11",0.8,"measurement",0.800915716462195,0.0437128087094147,0.0430494662707765,0.00193708810698527,0.000663342438638137,0.00091571646219446,0.00114464557774308,0.0436686766219418,0.953316953316953,1
"PFAnons","diffuse","deJong",20,50,"U22",0.6,"measurement",0.600544490543841,0.0433796277245734,0.0402725546208368,0.0019154873208769,0.00310707310373659,0.000544490543841425,0.000907484239735708,0.043329724250887,0.931203931203931,1
"PFAnons","diffuse","deJong",20,50,"U33",2,"measurement",1.99732426582313,0.0942735490489279,0.0932379186963194,0.00422209441839305,0.00103563035260849,-0.00267573417686506,-0.00133786708843253,0.0941956739414911,0.938574938574939,1
"PFAnons","diffuse","deJong",20,50,"U44",1,"measurement",0.996844847923852,0.0553315560187121,0.0520574251360708,0.00245834030732421,0.00327413088264136,-0.00315515207614847,-0.00315515207614847,0.0553535343389335,0.936117936117936,1
"PFAnons","diffuse","deJong",20,50,"U55",1.5,"measurement",1.49658731250417,0.0728441129821366,0.0724265007961778,0.00325737729802432,0.000417612185958816,-0.00341268749583334,-0.00227512499722223,0.0728345640918983,0.936117936117936,1
"PFAnons","diffuse","deJong",20,50,"U66",0.4,"measurement",0.398712546670832,0.0335666054067225,0.0317011546682259,0.00143244889533752,0.00186545073849666,-0.0012874533291678,-0.0032186333229195,0.0335500549652555,0.938574938574939,1
"PFAnons","diffuse","deJong",200,5,"Z21",1.2,"measurement",1.176261841739,0.0146303522179442,0.0149424556700489,0.00057082213622686,-0.000312103452104681,-0.0237381582609963,-0.0197817985508303,0.0278768281907842,0.644578313253012,1
"PFAnons","diffuse","deJong",200,5,"Z31",0.8,"measurement",0.783527739728237,0.0192283745218166,0.0180482263255394,0.0006456700475904,0.00118014819627723,-0.0164722602717626,-0.0205903253397033,0.0253046105426749,0.855421686746988,1
"PFAnons","diffuse","deJong",200,5,"Z52",0.9,"measurement",0.858079910586819,0.0218582943054596,0.0224188062334355,0.000690235107781096,-0.000560511927975821,-0.0419200894131811,-0.0465778771257568,0.0472664735162519,0.526104417670683,1
"PFAnons","diffuse","deJong",200,5,"Z62",1.1,"measurement",1.04925747144792,0.0187552958887785,0.0184704940822616,0.000645398110094784,0.000284801806516941,-0.0507425285520755,-0.0461295714109777,0.0540912098228125,0.238955823293173,1
"PFAnons","diffuse","deJong",200,5,"V11",0.5,"process_noise",0.510927478640034,0.0470151050702515,0.0561303816207688,0.00341021076140867,-0.00911527655051728,0.0109274786400338,0.0218549572800677,0.0482223112221646,0.975903614457831,1
"PFAnons","diffuse","deJong",200,5,"V21",0.1,"process_noise",0.106287403708524,0.0332690729259309,0.0344943503278193,0.00149571402163447,-0.00122527740188842,0.00628740370852357,0.0628740370852357,0.03382514014912,0.949799196787149,0.8714859437751
"PFAnons","diffuse","deJong",200,5,"V22",0.5,"process_noise",0.535243378585373,0.048558927510648,0.0463672520655848,0.00281002504570224,0.00219167544506327,0.0352433785853732,0.0704867571707464,0.059961073178361,0.881526104417671,1
"PFAnons","diffuse","deJong",200,5,"T11",1.2,"time_series",1.18415387811107,0.0136538817770769,0.013593373546004,0.000595792465092729,6.05082310729099e-05,-0.0158461218889296,-0.013205101574108,0.0209082211607892,0.795180722891566,1
"PFAnons","diffuse","deJong",200,5,"T21",-0.4,"time_series",-0.405692118107863,0.013821333335898,0.0181636961561382,0.000807934810078682,-0.00434236282024021,-0.00569211810786285,0.0142302952696571,0.0149347203138851,0.983935742971888,1
"PFAnons","diffuse","deJong",200,5,"T12",0.6,"time_series",0.575097706557915,0.0199489240888637,0.0187981945630574,0.000728796003093261,0.00115072952580629,-0.0249022934420848,-0.0415038224034747,0.0318949004602917,0.70281124497992,1
"PFAnons","diffuse","deJong",200,5,"T22",0.7,"time_series",0.693587972820814,0.0155213536232527,0.015634338203718,0.000594389733110352,-0.000112984580465282,-0.00641202717918576,-0.00916003882740823,0.0167792357087139,0.929718875502008,1
"PFAnons","diffuse","deJong",200,5,"U11",0.8,"measurement",0.795367976697116,0.0411513233779941,0.0446027019942117,0.00181071956314714,-0.00345137861621755,-0.00463202330288393,-0.00579002912860491,0.0413701171251475,0.961847389558233,1
"PFAnons","diffuse","deJong",200,5,"U22",0.6,"measurement",0.602520278366763,0.0444344147990743,0.0436082598281692,0.00200589644290109,0.000826154970905095,0.00252027836676327,0.00420046394460546,0.0444612677324011,0.939759036144578,1
"PFAnons","diffuse","deJong",200,5,"U33",2,"measurement",2.00147147266532,0.0876995902250771,0.0940703151764015,0.00391243442420219,-0.00637072495132437,0.00147147266532199,0.000735736332660997,0.0876238503168374,0.961847389558233,1
"PFAnons","diffuse","deJong",200,5,"U44",1,"measurement",0.991391362673118,0.053184898681645,0.0538649179608339,0.00237606388107663,-0.000680019279188898,-0.00860863732688188,-0.00860863732688188,0.0538243634199208,0.955823293172691,1
"PFAnons","diffuse","deJong",200,5,"U55",1.5,"measurement",1.50056879507307,0.0741456629179419,0.073385778118514,0.00330600394274323,0.000759884799427943,0.000568795073069062,0.000379196715379374,0.0740733659384629,0.957831325301205,1
"PFAnons","diffuse","deJong",200,5,"U66",0.4,"measurement",0.409289836159474,0.035647426956713,0.0350370021149779,0.00156012624035914,0.000610424841735062,0.0092898361594741,0.0232245903986852,0.0368033751124465,0.943775100401606,1
"PFAnons","diffuse","EKF",20,50,"Z21",1.2,"measurement",1.19981427387792,0.0031296774678567,0.00327817202663242,0.000352256141554934,-0.000148494558775719,-0.000185726122078789,-0.000154771768398991,0.00313029810751985,0.9625,1
"PFAnons","diffuse","EKF",20,50,"Z31",0.8,"measurement",0.799903179246143,0.00389246419868243,0.00391953719514043,0.000426444637911012,-2.70729964580063e-05,-9.68207538569743e-05,-0.000121025942321218,0.00388758331796188,0.9625,1
"PFAnons","diffuse","EKF",20,50,"Z52",0.9,"measurement",0.899672766967107,0.00477383327713121,0.0046372610938566,0.000501190760009178,0.000136572183274613,-0.000327233032893059,-0.000363592258770066,0.00477758814441643,0.9375,1
"PFAnons","diffuse","EKF",20,50,"Z62",1.1,"measurement",1.09970663792419,0.00411928547217533,0.00386797037429566,0.000431876085089882,0.000251315097879672,-0.000293362075814763,-0.000266692796195239,0.00412329328405063,0.95,1
"PFAnons","diffuse","EKF",20,50,"V11",0.5,"process_noise",0.476926823194674,0.0351618530006207,0.0437356938116468,0.00252052042484006,-0.00857384081102609,-0.0230731768053263,-0.0461463536106526,0.0420102818619382,0.953125,1
"PFAnons","diffuse","EKF",20,50,"V21",0.1,"process_noise",0.0939461083521352,0.0277009052177811,0.027638923751435,0.00102114065272799,6.1981466346131e-05,-0.00605389164786484,-0.0605389164786484,0.0283123968607427,0.940625,0.921875
"PFAnons","diffuse","EKF",20,50,"V22",0.5,"process_noise",0.497061755450576,0.036590080362128,0.0358268555691663,0.00177865745704806,0.000763224792961682,-0.00293824454942426,-0.00587648909884853,0.036650830901207,0.940625,1
"PFAnons","diffuse","EKF",20,50,"T11",1.2,"time_series",1.19980331562244,0.00245159379335595,0.00241925798089593,0.000269418828000791,3.23358124600169e-05,-0.000196684377556045,-0.00016390364796337,0.00245564953659866,0.953125,1
"PFAnons","diffuse","EKF",20,50,"T21",-0.4,"time_series",-0.400110172420325,0.00274739122195548,0.00341114924600225,0.000362009665830648,-0.000663758024046774,-0.000110172420325183,0.000275431050812958,0.0027453066301022,0.99375,1
"PFAnons","diffuse","EKF",20,50,"T12",0.6,"time_series",0.599897134248297,0.00356617258263513,0.00354587227406589,0.000391516305389627,2.03003085692392e-05,-0.000102865751703152,-0.000171442919505253,0.00356208166568137,0.95,1
"PFAnons","diffuse","EKF",20,50,"T22",0.7,"time_series",0.699476196937017,0.002819033859563,0.00282412901793325,0.000302963881902851,-5.09515837024844e-06,-0.000523803062982608,-0.000748290089975155,0.00286295080737704,0.95,1
"PFAnons","diffuse","EKF",20,50,"U11",0.8,"measurement",0.801115518760358,0.0424525530411141,0.0430437559702817,0.00188807798886008,-0.000591202929167658,0.00111551876035787,0.00139439845044734,0.0424008455885814,0.959375,1
"PFAnons","diffuse","EKF",20,50,"U22",0.6,"measurement",0.600112371073537,0.0419222419749228,0.0402212168946707,0.00185303498929768,0.00170102508025214,0.000112371073537121,0.000187285122561868,0.0418568380560334,0.95,1
"PFAnons","diffuse","EKF",20,50,"U33",2,"measurement",1.99443841631993,0.0952766991802767,0.0931045625265978,0.00427212620300565,0.00217213665367899,-0.00556158368007087,-0.00278079184003543,0.095290151460282,0.940625,1
"PFAnons","diffuse","EKF",20,50,"U44",1,"measurement",0.996052675678547,0.0549632699355508,0.0520333958611071,0.00244594869346309,0.00292987407444371,-0.00394732432145306,-0.00394732432145306,0.055019104936837,0.9375,1
"PFAnons","diffuse","EKF",20,50,"U55",1.5,"measurement",1.50341076093043,0.0703681219791749,0.0727396560591611,0.0031389728877202,-0.00237153407998625,0.00341076093043191,0.00227384062028794,0.0703408267235615,0.953125,1
"PFAnons","diffuse","EKF",20,50,"U66",0.4,"measurement",0.400372166940156,0.0333047476756774,0.031765226820983,0.00142322362736445,0.00153952085469437,0.00037216694015596,0.0009304173503899,0.0332547508867747,0.940625,1
"PFAnons","diffuse","EKF",200,5,"Z21",1.2,"measurement",1.17616972601781,0.0146132036750936,0.0149430034491582,0.000572699897484533,-0.000329799774064617,-0.023830273982189,-0.0198585616518241,0.0279464333240885,0.642147117296223,1
"PFAnons","diffuse","EKF",200,5,"Z31",0.8,"measurement",0.783410958326337,0.0192542319732079,0.0180439773618665,0.000646475422129216,0.0012102546113414,-0.016589041673663,-0.0207363020920788,0.0254004866843773,0.852882703777336,1
"PFAnons","diffuse","EKF",200,5,"Z52",0.9,"measurement",0.85806351798843,0.0218352231480913,0.0224177417886018,0.00069075041833892,-0.000582518640510517,-0.0419364820115703,-0.046596091123967,0.0472704730957316,0.526838966202783,1
"PFAnons","diffuse","EKF",200,5,"Z62",1.1,"measurement",1.04930019848932,0.0187401309213239,0.0184703768136156,0.00064509445813437,0.000269754107708204,-0.0506998015106819,-0.0460907286460744,0.0540459451238669,0.240556660039761,1
"PFAnons","diffuse","EKF",200,5,"V11",0.5,"process_noise",0.510890494037005,0.0469624609451688,0.0561249253821793,0.00341748019567604,-0.00916246443701048,0.010890494037005,0.0217809880740101,0.0481631701691904,0.976143141153082,1
